NAME,Dali Temperature (Celcius);
-100;154;8;117
-50;198;26;155
-48;230;62;200
-46;230;91;251
-44;198;77;249
-42;164;40;235
-40;13;0;212
-38;95;13;189
-36;107;27;227
-34;117;72;250
-32;138;121;247
-30;4;18;179
-28;24;49;214
-26;56;104;235
-24;111;154;247
-22;148;178;242
-20;0;80;171
-18;6;98;196
-16;24;122;219
-14;17;141;250
-12;64;169;255
-10;101;189;247
-8;0;103;140
-6;2;123;163
-5;0;155;186
-4;34;188;212
-3;103;219;230
-2;163;243;247
-1;212;255;255
0;5;179;138
1;2;212;149
2;138;237;187
4;204;255;208
6;235;252;207
8;235;255;122
10;255;234;128
12;247;212;35
14;245;180;0
16;242;149;0
18;240;116;0
20;255;83;36
22;247;23;7
24;219;10;7
26;189;4;4
28;156;2;20
30;196;24;98
32;232;39;120
34;245;88;174
36;240;144;216
38;247;59;213
